,Class,Service A,Service B,Decision,Reason,Model
26,FlinkClass830,"FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass830 is not in Service A's list of classes.,phi
27,FlinkClass869,"FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass869 is not in the list of classes for Service B.,phi
28,FlinkClass1300,"FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass1300 is not in the list of classes for Service B.,phi
29,FlinkClass1003,"FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,It does not handle customer data.,phi
30,FlinkClass744,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass744 is not in Service A's list of classes.,phi
31,FlinkClass2362,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass2362 is not in Service A or Service B.,phi
32,FlinkClass834,"FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass834 is not in Service A's list of classes.,phi
33,FlinkClass640,"FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass640 is not in Service A's list of classes.,phi
34,FlinkClass735,"FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass735 is not in the list of classes for Service A.,phi
35,FlinkClass882,"FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass882 is not in the list of classes for Service A.,phi
36,FlinkClass2198,"FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20","FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34",B,FlinkClass2198 is not in Service A or Service B.,phi
37,FlinkClass737,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34",B,FlinkClass737 is not in the list of classes for Service B.,phi
38,FlinkClass734,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,It does not handle customer data.,phi
39,FlinkClass733,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34",B,FlinkClass33 is not in Service B's list of classes.,phi
40,FlinkClass2346,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass2346 is not in Service A's list of classes.,phi
41,FlinkClass585,"FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass585 is not in Service A or B. It belongs to neither.,phi
42,FlinkClass664,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,"FlinkClass664 is a utility class that can be used in both services, but it has more features and capabilities that are useful for Service B.",phi
43,FlinkClass663,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass663 is not in the list of classes for Service B.,phi
44,FlinkClass662,"FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,It does not handle customer data.,phi
45,FlinkClass2152,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass2152 is not in Service A or B. It belongs to a different service.,phi
46,FlinkClass647,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass647 is a utility class that can be used in both services. It does not have any specific functionality related to either service.,phi
47,FlinkClass602,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass602 is a utility class that can be used by both services. It does not have any specific functionality related to either service.,phi
48,FlinkClass594,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass594 is a utility class that can be used in both services. It does not have any specific functionality related to the project's focus on maintaining logical component integrity.,phi
49,FlinkClass2372,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass2372 is not in the list of classes for Service B.,phi
50,FlinkClass2195,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass2195 is not in Service A or Service B. It belongs to a different service.,phi
51,FlinkClass110,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass110 does not handle customer data.,phi
52,FlinkClass151,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,"FlinkClass151 is a utility class that can be used in both services. It does not have any specific functionality related to customer data, so it can be used in either service.",phi
53,FlinkClass179,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass179 is not in Service A or B.,phi
54,FlinkClass2136,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass2136 is a utility class that can be used in both services.,phi
55,FlinkClass2104,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass2104 is not in Service A or Service B.,phi
56,FlinkClass196,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass196 is a utility class that can be used in both Service A and Service B. It does not have any specific functionality related to either service.,phi
57,FlinkClass210,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass210 is not in Service A's list of classes.,phi
58,FlinkClass261,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass261 is not in Service A or Service B.,phi
59,FlinkClass2053,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,It does not handle customer data.,phi
60,FlinkClass1332,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass1332 is not in Service A or B.,phi
61,FlinkClass424,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass5 is a core distributed utility that creates artificial coupling. It should be isolated from other services to maintain logical component integrity.,phi
62,FlinkClass490,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass490 is not in Service A or B.,phi
63,FlinkClass736,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass736 is a utility class that can be used in both services. It does not have any specific functionality related to either service.,phi
64,FlinkClass1898,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass1898 is not in Service A's class list.,phi
65,FlinkClass858,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass858 is not in Service A or Service B.,phi
66,FlinkClass1099,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,"FlinkClass1099 is a utility class that can be used by both services, so it does not belong to either Service A or Service B.",phi
67,FlinkClass1426,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass142 is a utility class that can be used in both services. It does not have any specific functionality related to the project's focus on maintaining logical component integrity.,phi
68,FlinkClass489,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass489 is a utility class that provides support for distributed computing. It does not fit into the category of any of the services A or B.,phi
69,FlinkClass711,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass711 is not in Service A or B.,phi
70,FlinkClass2237,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass2237 is not in Service A or B.,phi
71,FlinkClass1448,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass1448 is not in the list of classes for Service A. It belongs to Service B.,phi
72,FlinkClass697,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass697 is not in Service A's list of classes.,phi
73,FlinkClass1190,"FlinkClass1, FlinkClass4, FlinkClass7, FlinkClass9, FlinkClass12","FlinkClass6, FlinkClass14, FlinkClass26, FlinkClass44, FlinkClass49",B,FlinkClass1190 is not in Service A or Service B. It belongs to a different service.,phi
74,FlinkClass838,"FlinkClass1, FlinkClass4, FlinkClass7, FlinkClass9, FlinkClass12","FlinkClass6, FlinkClass14, FlinkClass26, FlinkClass44, FlinkClass49",B,FlinkClass838 is not in Service A or B.,phi
75,FlinkClass879,"FlinkClass8, FlinkClass10, FlinkClass11, FlinkClass15, FlinkClass16","FlinkClass6, FlinkClass14, FlinkClass26, FlinkClass44, FlinkClass49",B,"FlinkClass879 is a utility class that can be used in both services, so it does not belong to either Service A or Service B.",phi
76,FlinkClass880,"FlinkClass8, FlinkClass10, FlinkClass11, FlinkClass15, FlinkClass16","FlinkClass1, FlinkClass4, FlinkClass7, FlinkClass9, FlinkClass12",B,FlinkClass880 is not in the list of classes for Service A.,phi
77,FlinkClass882,"FlinkClass2, FlinkClass5, FlinkClass18, FlinkClass23, FlinkClass27","FlinkClass8, FlinkClass10, FlinkClass11, FlinkClass15, FlinkClass16",B,"FlinkClass882 is a subclass of FlinkClass8, which belongs to Service B.",phi
78,FlinkClass1426,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass0, FlinkClass3, FlinkClass5, FlinkClass15, FlinkClass34",B,FlinkClass142 is a utility class that can be used in both services. It does not have any specific functionality related to the project's focus on maintaining logical component integrity.,phi
79,FlinkClass445,"FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29","FlinkClass0, FlinkClass3, FlinkClass5, FlinkClass15, FlinkClass34",B,FlinkClass445,phi
80,FlinkClass441,"FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,FlinkClass441 is not in the list of classes for Service A.,phi
81,FlinkClass438,"FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",B,"FlinkClass438 is a utility class that can be used in both services. It does not have any specific functionality related to either service, so it belongs to Service B.",phi
82,FlinkClass1641,"FlinkClass0, FlinkClass3, FlinkClass5, FlinkClass15, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9",B,FlinkClass1641 is not in Service A's list of classes.,phi
83,FlinkClass384,"FlinkClass0, FlinkClass3, FlinkClass5, FlinkClass15, FlinkClass34","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",A,Default fallback (Could not parse output).,phi
84,FlinkClass203,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass0, FlinkClass3, FlinkClass5, FlinkClass15, FlinkClass34",B,"FlinkClass203 is a subclass of FlinkClass4, which is in Service B.",phi
85,FlinkClass234,"FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29","FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9",B,"FlinkClass234 is a subclass of FlinkClass2, which belongs to Service B.",phi
86,FlinkClass417,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,FlinkClass417 is not in the list of classes for Service B.,phi
87,FlinkClass286,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",B,"FlinkClass286 is a subclass of FlinkClass8, which belongs to Service B.",phi
88,FlinkClass1470,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,Inferred from raw text output due to JSON parsing failure.,phi
89,FlinkClass667,"FlinkClass0, FlinkClass3, FlinkClass5, FlinkClass15, FlinkClass34","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",B,"FlinkClass667 is a utility class that can be used in both services. It does not have any specific functionality related to either service, so it can be used by either one.",phi
90,FlinkClass1483,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,FlinkClass1483 is not in Service A's list of classes.,phi
91,FlinkClass1025,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29",B,FlinkClass1025 is not in Service A or Service B.,phi
92,FlinkClass828,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,"FlinkClass828 is a utility class that can be used in both services, but it's more commonly found in Service B.",phi
93,FlinkClass1058,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass0, FlinkClass3, FlinkClass5, FlinkClass15, FlinkClass34",B,It does not handle customer data.,phi
94,FlinkClass1029,"FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",B,It does not handle customer data.,phi
95,FlinkClass1040,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",B,FlinkClass1040 is not in the list of classes for Service B.,phi
96,FlinkClass662,"FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,FlinkClass662 is a utility class that can be used in both services. It does not have any specific functionality related to either service.,phi
97,FlinkClass1037,"FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23","FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9",B,FlinkClass1037 is not in Service A's list of classes.,phi
98,FlinkClass950,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9",B,"FlinkClass950 is a utility class that can be used in both services. It does not have any specific functionality related to customer data, so it can be used in either service.",phi
99,FlinkClass667,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,FlinkClass667 is not in the list of classes for Service B.,phi
100,FlinkClass1754,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",B,FlinkClass1754 is not in Service A's list of classes.,phi
101,FlinkClass528,"FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,It does not handle customer data.,phi
102,FlinkClass212,"FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",B,FlinkClass212 is not in the list of classes for Service A.,phi
103,FlinkClass823,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,FlinkClass823 is not in Service A's class list.,phi
104,FlinkClass840,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",B,"FlinkClass840 is a subclass of FlinkClass8, which belongs to Service B.",phi
105,FlinkClass2218,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9",B,FlinkClass2218 is not in Service A's list of classes.,phi
106,FlinkClass1024,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9",B,FlinkClass1024 is not in the list of classes for Service B.,phi
107,FlinkClass1723,"FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26","FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9",B,FlinkClass1723 is not in Service A's list of classes.,phi
108,FlinkClass1153,"FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23","FlinkClass8, FlinkClass13, FlinkClass22, FlinkClass24, FlinkClass26",B,FlinkClass1153 is not in Service A's list of classes.,phi
109,FlinkClass1137,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,It does not handle customer data.,phi
110,FlinkClass1170,"FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23","FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29",B,FlinkClass1170 is not in the list of classes for Service A. It belongs to Service B.,phi
111,FlinkClass1793,"FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29","FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9",B,"FlinkClass1793 is a utility class that does not fit into any of the services A or B. It can be used in both services, but it is more commonly used in Service B.",phi
112,FlinkClass1803,"FlinkClass2, FlinkClass4, FlinkClass6, FlinkClass7, FlinkClass9","FlinkClass12, FlinkClass19, FlinkClass20, FlinkClass21, FlinkClass23",B,It does not handle customer data.,phi
113,FlinkClass2380,"FlinkClass0, FlinkClass3, FlinkClass5, FlinkClass15, FlinkClass34","FlinkClass1, FlinkClass14, FlinkClass16, FlinkClass17, FlinkClass29",B,FlinkClass2380 is not in Service A's list of classes.,phi
