Algorithm,Mode,Run,Coupling,MoJoFM,Hypervolume,LLM_Calls,Dataset,Scenario
MOEA/D,Baseline,20,12535.000000032604,6.971860562788744,409343.3499893393,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,21,12552.000000187178,6.971860562788744,407762.5199644651,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,22,12456.000000515654,7.0138597228055435,416613.7209138676,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,23,12486.000000549522,6.9298614027719445,413867.52118560765,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,24,12571.000000721378,7.181856362872742,405988.8709755974,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,25,12583.00000034219,7.181856362872742,404864.95060439454,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,26,12527.0000001487,7.265854682906342,410085.27000367036,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,27,12544.00000033389,7.139857202855943,408507.16062407685,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,28,12539.000000186328,7.307853842923142,408971.91094582214,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,29,12581.000000225915,6.9298614027719445,405052.4699930106,0,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,0,12542.000000069824,6.803863922721545,408693.1199851915,55,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,1,12592.000000273167,7.0138597228055435,404020.1211851601,10,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,2,12574.000000391205,6.971860562788744,405708.1606465529,25,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,3,12552.000000120963,6.971860562788744,407762.5199805463,45,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,4,12523.000000192611,6.677866442671146,410455.7499253201,80,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,5,12528.000000071268,6.971860562788744,409992.60066485964,5,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,6,12559.00000035655,6.803863922721545,407109.90998811333,25,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,7,12540.000000036582,7.139857202855943,408879.00009283517,15,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,8,12504.00000030525,7.265854682906342,412211.1606268662,26,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,9,12548.00000006063,6.971860562788744,408135.00044688507,0,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,10,12521.000000446846,6.887862242755145,410640.8711889202,28,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,11,12502.000000004036,7.055858882822344,412395.51998199924,55,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,12,12578.000000048236,6.719865602687946,405333.60051079595,0,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,13,12558.000000163254,7.097858042839143,407203.20017123636,5,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,14,12588.000000002457,6.971860562788744,404395.7999973952,35,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,15,12526.000000496237,6.887862242755145,410177.91997808934,80,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,16,12552.000000444354,7.433851322973541,407762.5206138177,5,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,17,12532.000000012811,7.181856362872742,409621.7199992024,15,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,18,12551.000000150385,6.803863922721545,407855.67000039003,51,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,19,12496.000000042797,6.9298614027719445,412948.1202206155,10,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,20,12542.000000039656,7.0138597228055435,408693.12008554477,45,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,21,12567.000000234584,6.845863082738345,406362.8700055712,5,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,22,12537.000000847986,7.181856362872742,409157.6699903795,80,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,23,12518.000000083364,6.677866442671146,410918.39998939214,16,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,24,12471.00000051743,7.055858882822344,415242.8699616048,80,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,25,12547.000000397527,6.845863082738345,408228.07086447487,55,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,26,12557.000000159693,6.803863922721545,407296.4707201355,10,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,27,12551.000000038299,7.139857202855943,407855.6709527609,15,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,28,12525.000000169115,6.971860562788744,410270.5509687473,15,Apache-Flink,Structural Conflict
MOEA/D,Semanti-MOP,29,12577.000000324731,6.761864762704746,405427.27114952035,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,0,12251.000000709926,7.0138597228055435,434897.6700091099,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,1,12233.000000608714,7.097858042839143,436462.9499915396,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,2,12242.00000064893,7.265854682906342,435681.1200743055,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,3,12272.00000034363,7.181856362872742,433063.31993398326,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,4,12363.00000083612,7.685846283074338,425012.55001008743,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,5,12245.000000599763,6.593868122637547,435420.14996758825,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,6,12276.00000099557,7.181856362872742,432712.91999856604,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,7,12305.000000025424,7.307853842923142,430162.94992840994,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,8,12264.00000016419,7.517849643007139,433763.1599478667,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,9,12230.000000252385,6.887862242755145,436723.1999720447,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,10,12295.000000898754,6.887862242755145,431044.14998426643,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,11,12307.000000600321,7.307853842923142,429986.46993392543,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,12,12273.000000534617,7.0138597228055435,432975.74994674925,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,13,12283.000000448708,7.601847963040739,432098.9499997615,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,14,12321.00000065701,6.761864762704746,428748.8700218182,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,15,12231.000000029855,6.9298614027719445,436636.46988565143,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,16,12324.00000069349,7.223855522889543,428483.1600204898,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,17,12270.00000023187,7.181856362872742,433238.3999634408,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,18,12248.00000025687,7.055858882822344,435159.0000028233,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,19,12265.000000039154,6.887862242755145,433675.7499657845,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,20,12292.000000643153,7.223855522889543,431308.12055773765,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,21,12259.00000061295,6.845863082738345,434199.91001359833,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,22,12227.000000953461,7.34985300293994,436983.269925627,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,23,12318.000000017879,6.761864762704746,429014.40032869065,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,24,12294.000000085893,6.9298614027719445,431132.1599392746,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,25,12291.000000262355,6.9298614027719445,431396.07033459743,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,26,12214.000000974282,7.181856362872742,438108.15996666875,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,27,12209.000000949716,7.181856362872742,438539.90996610455,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,28,12256.000000888187,6.971860562788744,434461.7199562859,0,Apache-Flink,Structural Conflict
NSGA-III,Baseline,29,12238.000000096741,6.719865602687946,436028.79998962,0,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,0,12241.000000919592,7.34985300293994,435768.0700183106,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,1,12246.000000135808,7.181856362872742,435333.11999338545,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,2,12329.00000018202,6.635867282654346,428039.9098869327,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,3,12235.000000489681,7.0138597228055435,436289.34991445177,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,4,12219.000000181144,7.139857202855943,437675.90995145467,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,5,12275.000000348326,7.0138597228055435,432800.5499832241,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,6,12301.000000666092,7.097858042839143,430515.66995735426,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,7,12254.000000474754,7.223855522889543,434636.15998020663,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,8,12266.00000006555,7.223855522889543,433588.31995547045,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,9,12276.000000545233,7.517849643007139,432712.91995508596,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,10,12250.00000097162,6.9298614027719445,434984.80000249203,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,11,12222.000000161503,6.761864762704746,437416.32000499574,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,12,12273.000000906592,6.9298614027719445,432975.749941281,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,13,12259.000000268034,6.971860562788744,434199.90991978784,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,14,12236.000000946377,6.9298614027719445,436202.51992847346,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,15,12206.00000073856,7.307853842923142,438798.71995728643,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,16,12282.000000659284,6.887862242755145,432186.720019903,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,17,12255.000000177908,7.139857202855943,434548.9499666418,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,18,12247.000000656964,7.0138597228055435,435246.0699374478,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,19,12275.000000198097,6.4678706425871475,432800.5499864215,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,20,12294.000000613363,7.265854682906342,431132.1599553781,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,21,12305.000000254875,7.055858882822344,430162.9505096433,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,22,12252.000000818118,6.971860562788744,434810.5199746415,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,23,12276.000000549417,7.3918521629567415,432712.9202398066,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,24,12265.000000688744,7.055858882822344,433675.7500179069,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,25,12240.000000287719,6.9298614027719445,435854.99993935646,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,26,12268.000000120503,6.509869802603947,433413.39994271914,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,27,12161.000000448237,7.223855522889543,442659.2704416091,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,28,12245.000000595037,6.971860562788744,435420.1499305069,80,Apache-Flink,Structural Conflict
NSGA-III,Semanti-MOP,29,12225.000000173557,6.9298614027719445,437156.5499689151,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,0,12362.000000019712,7.0138597228055435,425101.9206760113,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,1,12290.000000066482,6.9298614027719445,431484.000406085,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,2,12264.000000131537,7.181856362872742,433763.1599865278,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,3,12235.000000128786,6.845863082738345,436289.3506824769,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,4,12331.000000082482,6.887862242755145,427862.4712558864,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,5,12314.000000645943,7.34985300293994,429368.1602298724,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,6,12279.000000034906,6.887862242755145,432449.91026051727,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,7,12319.000000235414,7.265854682906342,428925.9100596302,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,8,12236.000000703258,7.34985300293994,436202.5200457185,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,9,12313.000000673648,7.055858882822344,429456.5511368901,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,10,12264.000000010927,6.803863922721545,433763.16032866033,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,11,12309.000000172706,6.845863082738345,429809.9108885894,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,12,12252.00000098568,7.307853842923142,434810.520020984,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,13,12238.000000555876,6.9298614027719445,436028.79990317655,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,14,12295.000000528087,7.097858042839143,431044.15021360444,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,15,12285.000000083972,6.803863922721545,431923.3505313924,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,16,12317.000000044252,7.307853842923142,429102.8711709548,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,17,12298.000000466718,7.307853842923142,430779.9999318024,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,18,12348.00000001891,7.223855522889543,426351.0000690786,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,19,12346.000000160378,6.845863082738345,426529.11999998085,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,20,12343.000000060001,7.097858042839143,426796.15046808036,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,21,12407.000000064088,7.139857202855943,421060.47023831576,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,22,12274.000000315835,6.803863922721545,432888.16039781226,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,23,12256.000000006456,7.307853842923142,434461.72052397276,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,24,12235.000000120146,7.055858882822344,436289.3502390339,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,25,12327.000000055568,7.055858882822344,428217.2709645388,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,26,12381.000000326012,6.9298614027719445,423400.46994302893,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,27,12372.00000021351,7.097858042839143,424207.32133407483,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,28,12350.000000016937,6.887862242755145,426172.80038263777,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Baseline,29,12348.000000131087,7.727845443091138,426351.0003716549,0,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,0,12357.00000021702,6.635867282654346,425548.47106004757,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,1,12326.000000042928,6.761864762704746,428305.9206122113,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,2,12290.000000119062,6.9298614027719445,431484.0005276026,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,3,12264.000000053591,7.097858042839143,433763.16049517127,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,4,12310.000000505523,6.887862242755145,429721.60001063574,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,5,12259.000000815813,7.47585048299034,434199.9100223289,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,6,12337.000000155542,7.3918521629567415,427329.6708887188,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,7,12222.00000007021,7.055858882822344,437416.31998604373,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,8,12293.000000054197,6.803863922721545,431220.1503041847,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,9,12275.000000419219,7.34985300293994,432800.5499432725,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,10,12354.000000672899,7.055858882822344,425816.1606324916,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,11,12288.00000007256,6.803863922721545,431659.80068033165,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,12,12324.000000220829,6.845863082738345,428483.16082309646,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,13,12270.000000020798,6.971860562788744,433238.4004519428,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,14,12254.000000153643,6.677866442671146,434636.1612796529,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,15,12352.000000005692,7.181856362872742,425994.52134801465,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,16,12210.000000234138,7.097858042839143,438453.5999794925,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,17,12287.000000012893,7.0138597228055435,431747.6699986858,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,18,12362.00000004541,7.055858882822344,425101.9205223853,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,19,12344.000000128979,7.097858042839143,426707.1605501468,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,20,12344.000000946366,7.181856362872742,426707.1599198577,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,21,12321.000000677554,7.223855522889543,428748.86990359187,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,22,12239.00000077026,7.265854682906342,435941.90996303014,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,23,12271.000000350803,7.47585048299034,433150.87100881885,80,Apache-Flink,Structural Conflict
AGE-MOEA-II,Semanti-MOP,24,12347.000000106487,7.097858042839143,426440.0705942295,80,Apache-Flink,Structural Conflict
