,Class,Service A,Service B,Decision,Reason,Model
66,FlinkClass152,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,"FlinkClass152 is a subclass of FlinkClass20, which belongs to Service B.",phi
67,FlinkClass182,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,FlinkClass182 is not in Service A's list of classes.,phi
68,FlinkClass208,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass208 is a subclass of FlinkClass0, which belongs to Service B.",phi
69,FlinkClass1155,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,"FlinkClass1155 is not in Service A's class list, but it is in Service B's class list.",phi
70,FlinkClass253,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,"FlinkClass253 is not in Service A's class list, but it is in Service B's class list.",phi
71,FlinkClass2202,"FlinkClass11, FlinkClass14, FlinkClass19, FlinkClass20, FlinkClass24","FlinkClass5, FlinkClass6, FlinkClass21, FlinkClass23, FlinkClass28",B,FlinkClass2202 is not in the list of classes for Service A or B.,phi
72,FlinkClass805,"FlinkClass5, FlinkClass6, FlinkClass21, FlinkClass23, FlinkClass28","FlinkClass11, FlinkClass14, FlinkClass19, FlinkClass20, FlinkClass24",B,"FlinkClass805 is a subclass of FlinkClass11, which belongs to Service B.",phi
73,FlinkClass791,"FlinkClass0, FlinkClass4, FlinkClass7, FlinkClass8, FlinkClass9","FlinkClass1, FlinkClass12, FlinkClass22, FlinkClass30, FlinkClass40",B,"FlinkClass791 is not in Service A's class list, but it is in Service B's class list.",phi
74,FlinkClass792,"FlinkClass0, FlinkClass4, FlinkClass7, FlinkClass8, FlinkClass9","FlinkClass5, FlinkClass6, FlinkClass21, FlinkClass23, FlinkClass28",B,FlinkClass792 is not in Service A or Service B. It belongs to a different service.,phi
75,FlinkClass793,"FlinkClass11, FlinkClass14, FlinkClass19, FlinkClass20, FlinkClass24","FlinkClass5, FlinkClass6, FlinkClass21, FlinkClass23, FlinkClass28",B,FlinkClass793 is not in Service A or Service B.,phi
76,FlinkClass1259,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,FlinkClass1259 is not in Service A's list of classes.,phi
77,FlinkClass2169,"FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass36","FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27",B,It does not handle customer data.,phi
78,FlinkClass193,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,FlinkClass193 is not found in Service A or Service B.,phi
79,FlinkClass156,"FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass36","FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27",B,"FlinkClass156 is a subclass of FlinkClass3, which belongs to Service B.",phi
80,FlinkClass190,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27",B,It does not handle customer data.,phi
81,FlinkClass409,"FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,FlinkClass409 is not present in Service A or Service B.,phi
82,FlinkClass271,"FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34","FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27",B,"FlinkClass271 is not in Service A's list of classes, but it is in Service B's list.",phi
83,FlinkClass311,"FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28","FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31",B,FlinkClass311 is not found in Service A or Service B.,phi
84,FlinkClass119,"FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31","FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27",B,FlinkClass119 is not in Service A's list of classes.,phi
85,FlinkClass304,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34",B,FlinkClass304 is not in the list of classes for Service A.,phi
86,FlinkClass482,"FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31","FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27",B,FlinkClass482 is not in Service A or Service B.,phi
87,FlinkClass583,"FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,"FlinkClass583 is a subclass of FlinkClass4, which belongs to Service B.",phi
88,FlinkClass606,"FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,"FlinkClass606 is a subclass of FlinkClass4, which belongs to Service B.",phi
89,FlinkClass485,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34",B,It does not handle customer data.,phi
90,FlinkClass170,"FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27","FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34",B,"FlinkClass170 is a subclass of FlinkClass1, which belongs to Service B.",phi
91,FlinkClass147,"FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34","FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8",B,FlinkClass147 is not found in Service A or Service B.,phi
92,FlinkClass661,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,"FlinkClass661 is a subclass of FlinkClass4, which belongs to Service B.",phi
93,FlinkClass656,"FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,It does not handle customer data.,phi
94,FlinkClass653,"FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28","FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8",B,It does not handle customer data.,phi
95,FlinkClass651,"FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31","FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34",B,"FlinkClass651 is a subclass of FlinkClass1, which belongs to Service B.",phi
96,FlinkClass135,"FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,FlinkClass135 is not in Service A's list of classes.,phi
97,FlinkClass1857,"FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27","FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34",B,"FlinkClass1857 is a class that is used in both Service A and Service B. It is not specific to one service, so it should be considered as a shared resource.",phi
98,FlinkClass143,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,It has more methods and attributes than Service A.,phi
99,FlinkClass975,"FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28","FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27",B,Inferred from raw text output due to JSON parsing failure.,phi
100,FlinkClass161,"FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28","FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31",B,FlinkClass161,phi
101,FlinkClass152,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27",B,"FlinkClass152 is a subclass of FlinkClass3, which belongs to Service B.",phi
102,FlinkClass158,"FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28","FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34",B,FlinkClass158 is not in Service A's list of classes.,phi
103,FlinkClass1883,"FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,FlinkClass1883 is a class that does not exist in Service B.,phi
104,FlinkClass166,"FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34","FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31",B,FlinkClass166 is not in the list of classes for Service A or B.,phi
105,FlinkClass139,"FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34","FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31",B,FlinkClass139 is not in the list of classes for Service A. It belongs to Service B.,phi
106,FlinkClass541,"FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31","FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27",B,FlinkClass541 is not in the list of classes for Service A.,phi
107,FlinkClass1026,"FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27","FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34",B,FlinkClass1026 is not found in Service A or Service B.,phi
108,FlinkClass2176,"FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31","FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8",B,FlinkClass2176 is not in the list of classes for Service A.,phi
109,FlinkClass514,"FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31","FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34",B,It does not handle customer data.,phi
110,FlinkClass524,"FlinkClass3, FlinkClass12, FlinkClass14, FlinkClass21, FlinkClass27","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,"FlinkClass524 is not in Service A's class list, but it is in Service B's class list.",phi
111,FlinkClass2168,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,FlinkClass2168 is not in the list of classes for Service A.,phi
112,FlinkClass656,"FlinkClass0, FlinkClass2, FlinkClass6, FlinkClass7, FlinkClass8","FlinkClass4, FlinkClass15, FlinkClass23, FlinkClass24, FlinkClass28",B,"FlinkClass656 is a subclass of FlinkClass4, which belongs to Service B.",phi
113,FlinkClass512,"FlinkClass10, FlinkClass17, FlinkClass19, FlinkClass20, FlinkClass31","FlinkClass1, FlinkClass5, FlinkClass13, FlinkClass26, FlinkClass34",B,"FlinkClass512 is not in Service A's list of classes, but it is in Service B's list.",phi
